CarlaId,Name,Model,Role,Distance,Carla X,Carla Y,Carla Z,time
323,Citroen C3,Citroen C3,nearby,19.52893261546941,-15.420184135437012,131.9491424560547,0.0,1700519419.6671655
323,Citroen C3,Citroen C3,nearby,19.52893261546941,-15.420184135437012,131.9491424560547,0.0,1700519419.685871
323,Citroen C3,Citroen C3,nearby,19.52893261546941,-15.420184135437012,131.9491424560547,0.0,1700519419.699387
323,Citroen C3,Citroen C3,nearby,19.52893261546941,-15.420184135437012,131.9491424560547,0.0,1700519419.716054
323,Citroen C3,Citroen C3,nearby,18.8997352665483,-15.420184135437012,132.1363983154297,0.0,1700519419.731679
323,Citroen C3,Citroen C3,nearby,18.8997352665483,-15.420184135437012,132.1363983154297,0.0,1700519419.7507834
323,Citroen C3,Citroen C3,nearby,18.8997352665483,-15.420184135437012,132.1363983154297,0.0,1700519419.7628746
323,Citroen C3,Citroen C3,nearby,18.8997352665483,-15.420184135437012,132.1363983154297,0.0,1700519419.7794302
323,Citroen C3,Citroen C3,nearby,18.311175605835547,-15.419832229614258,132.3295440673828,0.0,1700519419.7958436
323,Citroen C3,Citroen C3,nearby,18.311175605835547,-15.419832229614258,132.3295440673828,0.0,1700519419.814042
323,Citroen C3,Citroen C3,nearby,18.311175605835547,-15.419832229614258,132.3295440673828,0.0,1700519419.8273795
323,Citroen C3,Citroen C3,nearby,18.311175605835547,-15.419832229614258,132.3295440673828,0.0,1700519419.8430405
323,Citroen C3,Citroen C3,nearby,17.768731439322604,-15.417825698852539,132.5278778076172,0.0,1700519419.8599052
323,Citroen C3,Citroen C3,nearby,17.768731439322604,-15.417825698852539,132.5278778076172,0.0,1700519419.8779361
323,Citroen C3,Citroen C3,nearby,17.768731439322604,-15.417825698852539,132.5278778076172,0.0,1700519419.8918734
323,Citroen C3,Citroen C3,nearby,17.768731439322604,-15.417825698852539,132.5278778076172,0.0,1700519419.9073431
323,Citroen C3,Citroen C3,nearby,17.768731439322604,-15.417825698852539,132.5278778076172,0.0,1700519419.9230688
323,Citroen C3,Citroen C3,nearby,17.27511779201721,-15.415800094604492,132.7317352294922,0.0,1700519419.9423325
323,Citroen C3,Citroen C3,nearby,17.27511779201721,-15.415800094604492,132.7317352294922,0.0,1700519419.95504
323,Citroen C3,Citroen C3,nearby,17.27511779201721,-15.415800094604492,132.7317352294922,0.0,1700519419.9720385
323,Citroen C3,Citroen C3,nearby,16.82771199980143,-15.413715362548828,132.93882751464844,0.0,1700519419.9887996
323,Citroen C3,Citroen C3,nearby,16.82771199980143,-15.413715362548828,132.93882751464844,0.0,1700519420.0057404
323,Citroen C3,Citroen C3,nearby,16.82771199980143,-15.413715362548828,132.93882751464844,0.0,1700519420.020031
323,Citroen C3,Citroen C3,nearby,16.82771199980143,-15.413715362548828,132.93882751464844,0.0,1700519420.0357397
323,Citroen C3,Citroen C3,nearby,16.43069076021792,-15.411566734313965,133.1503448486328,0.0,1700519420.0519953
323,Citroen C3,Citroen C3,nearby,16.43069076021792,-15.411566734313965,133.1503448486328,0.0,1700519420.0700667
323,Citroen C3,Citroen C3,nearby,16.43069076021792,-15.411566734313965,133.1503448486328,0.0,1700519420.083816
323,Citroen C3,Citroen C3,nearby,16.43069076021792,-15.411566734313965,133.1503448486328,0.0,1700519420.0990589
323,Citroen C3,Citroen C3,nearby,16.090937050798562,-15.410174369812012,133.3674774169922,0.0,1700519420.115458
323,Citroen C3,Citroen C3,nearby,16.090937050798562,-15.410174369812012,133.3674774169922,0.0,1700519420.133785
323,Citroen C3,Citroen C3,nearby,16.090937050798562,-15.410174369812012,133.3674774169922,0.0,1700519420.1473038
323,Citroen C3,Citroen C3,nearby,16.090937050798562,-15.410174369812012,133.3674774169922,0.0,1700519420.1636937
323,Citroen C3,Citroen C3,nearby,15.813275216526359,-15.410174369812012,133.58827209472656,0.0,1700519420.18188
323,Citroen C3,Citroen C3,nearby,15.813275216526359,-15.410174369812012,133.58827209472656,0.0,1700519420.1955945
323,Citroen C3,Citroen C3,nearby,15.813275216526359,-15.410174369812012,133.58827209472656,0.0,1700519420.2109544
323,Citroen C3,Citroen C3,nearby,15.600759734621914,-15.410174369812012,133.81321716308594,0.0,1700519420.2275348
323,Citroen C3,Citroen C3,nearby,15.600759734621914,-15.410174369812012,133.81321716308594,0.0,1700519420.2460883
323,Citroen C3,Citroen C3,nearby,15.600759734621914,-15.410174369812012,133.81321716308594,0.0,1700519420.2595654
323,Citroen C3,Citroen C3,nearby,15.600759734621914,-15.410174369812012,133.81321716308594,0.0,1700519420.2759194
323,Citroen C3,Citroen C3,nearby,15.600759734621914,-15.410174369812012,134.0415496826172,0.0,1700519420.2916539
323,Citroen C3,Citroen C3,nearby,15.457561094518535,-15.410174369812012,134.0415496826172,0.0,1700519420.3097737
323,Citroen C3,Citroen C3,nearby,15.457561094518535,-15.410174369812012,134.0415496826172,0.0,1700519420.3236713
323,Citroen C3,Citroen C3,nearby,15.457561094518535,-15.410174369812012,134.0415496826172,0.0,1700519420.3391972
323,Citroen C3,Citroen C3,nearby,15.383877826309513,-15.410049438476562,134.2755584716797,0.0,1700519420.3555863
323,Citroen C3,Citroen C3,nearby,15.383877826309513,-15.410049438476562,134.2755584716797,0.0,1700519420.3742175
323,Citroen C3,Citroen C3,nearby,15.383877826309513,-15.410049438476562,134.2755584716797,0.0,1700519420.3875697
323,Citroen C3,Citroen C3,nearby,15.383877826309513,-15.410049438476562,134.2755584716797,0.0,1700519420.40329
